,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
fence,0,276094,384,1425,4685,1088,69,4009,21,201,37625,20804,31,23834,705,1923,6767,3206,258,22143,73,5909,3779,1188,42189,2,50,6747,48155,10567,9762,22224,6690,53964,1858,1340,368,3172,4502,89,219,727,66134,356,214,646,555,6645,51,157,66271,3515
fend,0,3,1,0,16,644,0,0,1,0,2,78,0,45,161,32,3,0,2,0,0,134,7,9,126490,0,0,154,180,14,2782,6998,110877,877,139,1,0,63,15,0,0,12,279,2,0,1,4,46,1,2,291,58
ferret,0,104,8,22,250,10,1,26,4,1,272,820,8,564,208,162,353,21,1,18,0,222,429,67,1378,0,0,846,3564,294,606,321,120,1865,192,22,2,9512,110,8,11,101,2575,24,1,4,79,234,3,15,1531,103
fess,0,40,1,0,20,2,0,2,0,0,8,62,0,44,1,6,16,0,0,31,0,16,3,8,162,0,0,29,124,9,70,45,12,97,7,0,0,70,26,0,0,2,467,6,0,0,20,54241,1,2,84,7
fetch,0,1113,65,32,425,60,11,42,7,1,1610,2939,3,3032,100,477,664,13,7,473,18,656,206,397,10439,13,2,3407,6641,749,15358,590,280,2822,1806,5,56,1570,1038,17,6,65,3942,131,2,7,56,2948,13,200,26103,304
fiddle,0,2752,19,14,312,180,1,40,14,10,39909,1823,6,1532,245,409,303,507,8,77,3,1820,129,232,3699,0,0,648,8214,292,855,1165,124,3191,228,9,7,277,258,8,106,335,41172,51,4,97,74,140,6,34,150374,261
fight,2,120626,2284,2605,63966,977161,4510,12553,10175,593,19487,167682,1316,267542,6780,793804,69317,2951,1022,204591,1813,77884,9707,45907,1809593,10,638,77457,909978,18713,575378,118487,205432,321072,61901,574,506,32229,298395,3660,831,99532,804402,27539,473,2852,12662,18127,639,5493,1454657,73666
figure,0,8302,2321,726,8604,1137,216,612,2536,171,5656,42064,232,39269,657,2413,6587,3345,1160,2542,296,18487,2642,8678,102760,3,67,52492,271963,20600,2449568,253250,2190,57129,11551,422,160,12198420,4273,139,109,1696,118871,277,100,528,1618,5874,231,586,61664,5481
file,0,3988,1129,1577,15950,6118,215,2524,259,142,2413,81557,154,37331,6578,11402,20853,737,822,2164,168,20083,14791,4465,400869,3,90,129181,273618,55441,87719,80762,10776,169037,10308,9736,6742,12353,13595,710,34,12234,326523,1876,59,280,17002,6764,692,320,187327,15387
fill,0,4127,396,219,3263,186,42,253,21,27,2049,15199,44,15483,150,8621,5254,299,229,1447,158,4538,4190,2681,24653,2,45,10808,1170444,3885,680092,58600,925,20736,30385,75,1376,1035419,2299,494,28,1263,30940,84,24,114,505,794526,131,297,167986,2213
film,0,122720,724,779,18650,1448,377,1917,633,1159,5006,110889,943,75298,1312,8136,27212,1902,317,2123,1143,48046,4122,10872,138312,3,400,70126,259447,9941,161749,162387,7649,119410,9087,1353,318,17198,15547,399,104,6390,181128,6748,73,345,3198,5981,669,1400,169012,22056
filter,0,1517,653,577,5166,1624,299,955,115,305,2306,23216,154,23260,2034,4649,8631,913,335,7117,114,103977,13753,2069,180085,0,248,18064,91872,10579,87816,41767,14449,199003,1904,1164,423,361396,20981,1288,31,42262,210469,265,59,330,2102,5365,139,351,61684,3090
find,2,65502,1302,2017,26605,3463,122,7168,4747,298,30050,113416,496,256953,18404,9404,10011,2050,3194,7787,1635,41296,5189,79610,201622,17,230,52159,957061,5487,14710331,55372,12501,571054,2123156,455,12097,9939246,13955,3752,1169,15244,294183,1469,84,374,12670,10087,1053,20541,144948,19498
finish,0,4825,20675,327,13601,2737,11000,664,445,43,16122,46121,305,90898,325,1410,55707,3663,5923,4063,252,47199,1454,8270,46607,53,41,23449,233935,2138,1089871,55995,289179,134407,60261,215,368,77326,9054,478,902,4407,72056,1975,94,479,5789,264437,91,1799,250812,16660
fink,0,274,3,0,34,5,0,4,3,0,4,202,2,132,0,28,29,7,0,0,1,56,4,23,258,0,0,164,366,10,668,489,13,364,35,0,0,69,20,3,1,15,348,0,0,0,3,14,0,2,78,10
fire,0,9274,2137,4890,37139,12217,881,3888,835,193,14439,118182,421,274667,54476,59815,43562,8624,2909,6971,878,83206,19758,14174,237667,36,1258,182581,543610,34128,191101,164411,127612,354231,60065,3980,455,63082,24337,825,1430,14537,382145,5104,809,3718,88765,248853,24016,81412,307387,33234
firm,0,19721,144,287,4101,4757,51,186,86,46,822,22062,40,11734,75,1331,3555,1920,40,236,60,3897,653,1542,35611,0,31,5021,103390,937,5999,16038,297,65749,2777,84,287,2410,1952,29,637,907,65786,556,25,122,1043,18233,429,2240,58075,3243
fish,0,2794,761,564,7823,759,90,1597,369,316,13533,40285,272,46050,3360,9413,12445,1115,705,1160,181,19189,4402,4244,177400,3,83,62303,442333,14179,34677,21086,9072,84090,6371,852,340,89801,7356,170,115,5533,186882,2360,116,440,3332,13960,251,669,90396,10346
fit,0,69426,1522,2461,14482,3255,134,3253,1120,177,35251,162885,830,102007,208,13230,13894,4876,1179,25803,354,18368,8997,15528,1189532,3,131,21257,2840480,1215612,290399,185322,3260,384564,59786,17174,175,11848,90776,1253,855,81254,460348,151238,88,620,70846,19875,376,6701,523483,26454
fix,0,5926,974,257,9596,535,137,832,107,213,1473,35105,439,27123,370,1833,18969,184,451,806,424,32071,1074,5930,444120,0,245,25857,107496,2407,4491410,37434,986,59667,38794,320,254,10094,4560,1201,50,3717,168739,845,33,178,1383,107166,358,561,55212,14974
fizzle,0,26,5,5,660,87,0,14,1,7,71,594,0,389,1759,83,277,3,1,27,5,184,356,46,450,0,1,195,1036,860,356,395,309,583,21,4,1,56911,136,8,1,27,404,1,7,27,38,136,28,17,409,159
flag,0,6951,3825,1065,11353,4280,128,1256,509,167,9055,70818,281,50235,1866,6901,10522,5223,587,892,156,16979,21799,4736,295336,0,127,34770,194389,6690,46238,240260,5856,214415,5851,1129,124,11565,13771,124,179,1368,179297,707,116,563,2816,24253,480,570,70139,6835
flake,0,254,19,18,909,23,3,42,16,524,221,1451,4,1904,1168,104,394,20,14,48,2,608,73,291,2972,0,1,1247,5726,554,1252,6292,18187,15842,213,72,15,20075,396,2,6,67,3073,16,4,15,138,569,14,43,1588,260
flame,0,2739,574,350,2258,980,40,300,85,12,1567,9626,69,11023,4028,3699,2634,581,251,1157,69,3959,1337,1597,21842,13,75,12951,42579,2638,5107,46521,1855,34686,1961,370,29,28526,3421,75,219,990,35157,193,144,944,2015,3705,338,310,10732,1858
flare,0,378,192,150,1522,381,32,111,20,10,765,4911,64,9055,333,1637,1462,253,66,282,28,1199,717,559,12320,1,32,6141,15582,2556,4290,7688,1521,12312,511,197,146,12353,1282,44,116,318,18640,44,43,167,536,127026,53,132,4657,715
flash,1,1361,755,3870,7663,1783,263,642,94,82,3347,28730,134,26818,14714,63710,23392,2969,145,1768,110,12959,2724,3309,60424,88,74941,30462,127116,14054,74158,155006,10470,95061,5602,2702,645,18247,16072,1076,134,6707,92317,446,240,1108,1590,16211,357,564,30686,4906
flatten,0,32,1,22,183,291,3,21,2,1,52,623,0,294,25,427,146,4,6,55,2,281,797,97,256,0,4,128,867,937,23493,29,276,598,731,48,2,31423,301,3,13,11,1088,19,9,23,105,162,32,13,964,77
flesh,0,297,398,144,1696,983,11,292,72,1404,3280,13429,109,4490,1486,898,2708,549,387,1923,73,4373,798,635,15245,0,39,20460,20878,4447,38645,70023,12510,16642,957,277,370,214966,1912,32,26,1004,31001,605,26,44,1530,676,372,53,16034,3144
flick,0,3435,48,510,931,416,30,113,16,9,2461,2959,37,5545,1411,4217,897,172,18,3707,8,2104,2343,362,5587,3,467,5781,8126,1319,36856,54037,5690,15078,1294,1102,1597,2870,3009,483,66,15093,20456,161,100,637,154,6144,17,156,15436,848
fling,0,554,12,303,556,100,4,32,7,72,3247,1084,42,4676,487,1004,1193,116,4,387,3,247,179,145,3018,11,171,1082,3365,1230,16689,1463,1832,1727,666,116,1590,2289,560,52,20,225,3173,111,13,121,65,708,16,41,27665,224
flip,1,6507,100,403,5253,1713,362,275,61,21,20581,10905,48,18088,2229,37922,3725,275,30,22817,34,3558,8527,1539,33412,7,2113,16987,33664,13050,302652,41841,33453,73636,13542,3147,6666,181090,76022,1237,245,65557,87300,178,136,669,599,33451,107,558,14592,2203
flirt,0,227,13,34,302,5,3,56,12,2,1757,1619,6,2941,512,14392,361,92,2,218,25,1532,33,530,3341,0,0,628,6145,58,806,227,61,2868,89,3,4,156,721,14,2,336,4611,104,10,46,33,465,3,125,259154,1914
float,0,3988,8657,3479,1351,403,65,6811,282,275,76532,5787,24,8190,36000,7658,1160,830,264,8747,52,10294,36913,956,19975,3,450,5378,64482,10668,13879,8691,10965,69515,3781,423,48,9792,10477,1958,141,14730,41007,499,461,2397,1028,21642,292,339,13088,2115
flog,0,33,4,5,13,8,0,4,0,0,102,138,0,148,91,19,23,2,1,4,2,24,27,15,289,0,0,58,415,18,4125,212,929,425,111,5,1,93,35,4,0,24,503,6,0,4,4,28,1,2,135,18
flood,0,548,64,836,1362,181,21,185,27,24,669,5862,42,4175,371,4974,1191,108,36,115,30,4344,595,797,4527,36,78,6700,42096,12948,16546,227720,226,6423,965,386,65,7204,2809,78,23,1641,13907,72,29,166,203,814,292,206,11822,775
floor,0,5424,26979,1538,32850,5456,462,2302,414,821,11098,76136,197,90490,3647,3021,27588,9415,24965,7651,319,37585,8951,6607,174492,2,53,31784,261768,9548,72170,463976,2177,67824,10143,1754,1790,9667,9715,611,145,3429,203789,7738,417,1725,16504,14646,613,877,351547,20229
flounce,0,136,1,5,20,1,0,3,0,0,533,14,1,67,220,34,10,0,0,0,0,14,16,2,32,0,0,75,150,46,17,43,665,99,9,5,0,425,44,6,2,18,63,0,0,2,3,23,2,2,14,10
flow,0,1418,678,5166,4351,903,89,3356,360,81,13835,36714,89,23421,4682,16560,3767,988,438,15068,285,13368,19331,3598,48993,1199,578,84536,114479,66104,9578,904410,6129,49001,2702,1965,727,37915,21315,2391,156,174505,180906,15552,1169,4393,2844,8754,197,958,54317,7141
fluff,0,4577,82,25,597,72,22,110,15,16,2770,3865,250,2815,217,548,952,936,39,796,48,731,279,260,10847,0,19,4932,15873,976,12276,7222,1177,9167,395,71,17,4565,821,20,22,134,18180,75,3,41,275,11362,32,127,6225,813
flunk,0,12,0,0,17,7,0,0,0,2,9,52,0,136,6,6,17,0,0,0,0,20,11,18,88,0,0,25,236,8,796,49,19,130,90,0,2,15649,12,1,0,12,53,4,0,0,6,16,0,1,34,21
flush,0,425,42,227,5380,11392,10,276,8,5,301,5847,6,5834,3378,398,4336,126,43,357,10,1568,7433,690,6498,0,20,2793,12427,1377,82958,10510,361,16285,1602,151,22,57531,1131,21,21,1080,17995,394,11,38,274,1196,56,95,114908,1483
fly,0,10206,14580,41174,9343,6356,1208,4241,724,5657,217494,67815,70,86593,165695,104984,8832,3746,3177,11624,1006,153142,43855,6109,100839,192,5044,77515,426959,160921,124872,6450,182347,167000,20802,2568,6242,240656,198868,26629,2114,116488,419350,9308,2897,15211,60309,79173,378,3787,229528,35859
fob,0,102,17,33,347,187,3,30,8,62,146,1447,5,1464,70,220,363,87,3,38,5,419,246,184,5362,0,7,1352,7156,466,1526,446,2398,3257,167,36,58,511,198,4,5,76,8561,33,0,11,155,631,11,48,3477,465
focus,0,4869,536,907,9782,1437,424,1011,561,77,17417,54695,265,55864,47643,25616,6081,1116,149,6028,1399,13123,28779,7754,141843,1,926,68866,224051,21293,40113,571330,36630,10867105,15449,11236,62,4098,7871,1204,76,4508,223149,676,2668,12338,1022,7266,7034,8224,52308,7944
foist,0,4,0,2,1,0,0,0,0,0,1,40,0,9,2,2,3,0,0,0,0,11,12,20,8,0,0,2,35,35,1888,82,866,2408,116,320,4,15,20,0,2,5,16,0,0,0,0,47,1771,1,7,0
fold,0,571,472,239,4364,1402,18,653,97,79,1442,8509,22,6596,2821,7435,2290,274,95,982,43,5151,24456,1012,10741,1,1208,3686,56008,13007,94140,20866,503,15033,3732,417,833,27956,21349,42,42,747,32985,1255,77,217,6905,50305,213,333,9295,2142
follow,0,4040,1004,477,19191,224,90,163237,90,81,15343,41425,126,30508,272,62546,3773,11857,1076,482,260,19631,3841,7905,68763,27,139,74923,160482,6187,584217,3540,903,125338,55124,455,275,3535,3242,637,162,631200,69806,211,77,356,2074,1871012,485,1480,70456,9569
fool,0,2092,217,78,1727,196,16,110,152,32,91764,6442,26,6657,145,613,1348,336,72,41,74,9594,749,2529,62791,0,2,3292,31564,1649,6052,169017,690,14333,1254,22,37,47431,1455,24,38,303,88938,45,25,100,169,1091,31,144,27537,1148
force,1,2944,1215,4323,17952,108836,445,2925,1346,388,6946,106102,482,74834,3844,8945,13547,126182,375,14098,4228,52320,15290,11444,225032,8,1025,81377,455320,45410,503086,877178,4376,242196,129011,7488,5614,54068,20283,982,567,30334,778426,2162,1051,4124,7143,8087,14384,3277,93116,18337
forge,0,401,68,43,1438,153,9357,184,33,20,223,4461,13,4397,157,387,1622,167,69,142,38,1587,416,546,15524,33,575,3337,13496,1613,11772,15163,284,10587,2837,100,136,1798,547,97,30,759,16497,466,13,52,462,1227,47,93,8596,1098
fork,0,662,163,663,2231,1610,100,390,42,196,1220,8684,76,9345,3902,1678,3157,120,64,1079,29,3097,9042,941,20147,3,73,9922,99283,9342,24571,85901,9730,21342,855,438,144,70116,82317,46,18,2081,51221,431,44,238,691,11223,54,161,20582,3228
form,0,8005,3565,1844,30794,7475,534,3577,953,435,22358,114244,966,89786,1456,14153,34390,3882,3986,7575,1519,32765,14250,12119,259170,10,419,76114,272504,38275,110090,8358996,3879,136781,38832,756,873,17232,42147,892,196,8231,303873,5446,210,1550,26998,29662,1247,1701,112041,22261
foul,0,5217,34,52,5454,6827,5,58,19,9,233,8242,65,12879,952,502,4088,141,17,128,194,17114,638,2351,22460,1,3,6736,29952,478,5655,20167,3690,127205,1220,33,8,20263,4157,66,8,135,22607,13,35,199,708,5893,114,621,6730,1301
freak,0,9676,31,33,941,79,10,52,438,9,352,4191,13,6320,179,901,736,283,4,294,42,3358,324,1074,15551,0,10,2229,30606,352,2467,60082,688,25326,1085,18,20,1146210,3875,13,32,64,10558,60,4,44,229,698,22,404,10544,500
free,0,11103,753,2421,86182,2908,223,4817,1057,830,9487,279353,1556,231855,673,9650,32116,986,422,3641,985,89143,3515,23236,954250,29,251,780037,454680,5894,59550,1009081,12679,483026,161626,511,22142,16679,20908,1047,6821,37536,18372059,924,130,495,15028,341707,2617,42263,336214,54196
freeze,0,1019,158,185,6457,950,233,259,36,21,1271,11872,21,20568,635,987,6814,103,246,402,45,3239,801,1846,48453,0,8,7860,62653,4958,121526,4998,3914,46366,3905,373,197,8640,24801,69,25,818,77883,1080,13,101,1541,85892,1150,237,11022,2044
freshen,0,0,0,0,11,0,0,0,0,0,0,12,0,6,2,14,10,0,0,4,0,7,1,2,7,0,0,9,31,1,5209,4,0,7,21,0,0,26,2,0,0,1,8,0,0,0,2,35986,0,0,36,4
frighten,0,32,0,0,2,0,0,1,0,0,2,81,0,83,946,3,6,0,1,0,2,232,0,158,75,1,0,44,61,57,708,211,975,50,110,0,0,19,12,1,1,3,238,0,0,2,2,18,2,11,135,14
fritter,0,34,0,0,7,1,1,2,1,0,43,43,2,98,2846,11,31,0,0,4,0,42,6,5,140,0,0,204,189,13,886,41,11,105,20,1,0,31,16,1,0,2,64,0,0,0,1,7,0,3,205,9
front,0,96200,656,568,6801,14524,352,3262,243,272,1869,57706,242,31502,508,5542,13571,1494,445,2368,206,21522,3475,4315,173033,3,699,16504,90108,2683,25943,12348709,6631,63397,20638,399,1804,3063,3768,267,189,2105,297312,1331,1193,2750,2726,9569,267,1129,140726,9214
frost,0,323,67,71,902,294,36,112,79,15,460,6094,20,3950,181,885,1078,100,37,93,15,2611,210,746,10083,0,8,4601,15567,721,2587,1924,1752,15580,1915,50,8,746,1887,22,30,208,10910,128,2,28,142,1277,105,101,5823,584
frown,0,741,4,81,220,196,1,85,4,4,265,2629,2,9612,170,133,394,56,7,23,0,93,639,180,1008,0,1,674,1953,649,174,1060,268,51438,32,18,6,220,246,3,2,47,1293,13,10,60,52,523,60540,8,999,64
fuck,7,1411334,751,986,22467,3200,3077,3952,246,4310,490707,65878,849,80683,213801,55494,12161,3111,434,1346,1145,20570,296996,74287,180526,26,585,25396,243572,7736,3506050,131521,4566489,280723,41243,553,5843,2705212,357257,1764,803,4569,313049,3940,334,2453,2755,4396039,314,4206,1627471,14974
fuel,0,648,414,478,3736,997,154,718,111,65,2712,22924,121,23512,764,2670,7442,1115,242,1304,177,10452,1550,2504,196683,1,131,34321,102378,20380,30316,14928,2701,45832,2065,1974,65,8968,4069,199,62,3835,289062,241,88,386,1231,19104,161,340,16575,3151
fur,0,233,307,166,950,573,2,425,35,36,5691,5909,68,2910,365,1078,1138,448,125,1342,19,1007,1013,426,8304,0,6,6625,15643,1108,2384,7556,5848,31959,829,278,12,3592,1231,19,50,204,15311,173,6,45,1012,1040,55,48,5984,580
fuss,0,142487,17,16,859,186,8,26,118,13,4348,3525,31,7853,28,257,653,209,8,182,73,1398,49,477,6664,0,1,1844,6179,62,1759,7846,82,4196,129,0,4,6109,58660,4,12,88,6165,13,6,42,47,409,23,304,18373,267
gad,0,241,13,1,105,3,0,54,20,0,35,1019,2,968,7,32,104,2,4,1,1,110,9,42,895,0,0,147,707,24,445,58,10,196,102,2,2,26,57,1,1,13,1687,4,1,0,34,9,4,9,570,57
gag,0,6036,18,64,1344,96,13,79,612,3,694,3691,57,11866,130,588,1056,108,4,1222,15,1439,646,926,9406,1,4,7786,25094,628,1882,13837,532,28061,457,46,9,1712,2228,17,16,408,8168,39,10,61,83,464,113,165,8130,318
gain,0,20159,1436,986,10029,2367,356,1050,498,210,6870,59603,534,41341,196,45200,5124,336,263,3763,901,180190,5462,20524,108033,3,395,453297,175933,2617,73968,103571,3012,84545,20497,97,95,12752,25556,707,41,10918,64947,183,150,682,1658,13020,591,4146,34008,7457
gallop,0,189,12,454,142,27,50,165,5,3,1064,415,9,894,931,194,101,24,2,30,2,273,349,50,826,16,55,327,1455,527,139,2520,536,1139,19,41,2,275,330,199,11,770,1515,13,67,253,16,470,14,14,727,123
gamble,0,606,14,35,1101,1840,15,53,49,11,264,10271,19,16578,7942,251,670,54,14,1214,64,6112,74,1771,48252,0,4,2223,22810,379,11622,13239,262,145401,672,22,26,456,1063,34,24,295,37925,152,14,66,162,347,108,142,76093,1490
gang,0,1025,62,162,2521,621,13,336,63,161,1278,8061,54,11699,153,6471,1959,646,19,74,49,5472,903,1114,18076,0,32,9704,41552,1578,2213,171865,476,14816,851,77,74,3641,2634,69,79,541,26712,4818,10,81,371,113191,127,436,12471,1090
gasp,0,224,10,31,408,46,0,39,36,1,55,4657,0,6533,44,64,1036,134,1,108,3,291,17,255,14428,0,0,3813,8380,117,598,17235,14,670,84,10,7,2449,216,6,0,124,1115,24,2,17,28,25,116,15,1245,44
gather,0,5090,168,160,1330,342,43,427,92,11,40964,29764,18,18383,131,656,1733,868,140,314,46,3286,158,1690,16725,23,2,69388,48275,3353,38476,2146,400,14015,1663,62,55,1028,1624,77,18139,1067,26692,22534,37,172,1692,67034,91,282,9658,1372
gear,0,2871,3335,2206,19897,2939,584,4244,521,751,17160,105437,1702,109911,3469,17996,34994,4879,1806,6199,1593,23389,18597,10499,369052,134,568,176480,291871,21820,45499,30206,15732,192954,6456,2400,185,31085,15716,1785,179,11379,399068,4589,1046,5001,4008,195998,799,1742,177463,27345
gee,0,69,2,2,154,17,3,9,6,1,35,540,2,418,5,134,89,8,1,9,3,621,29,153,958,1,1,219,998,66,8976,264,133,497,159,7,2,134,89,2,0,28,805,11,1,4,14,785,1,154,601,65
geek,0,2031,11,6,224,28,7,41,92,4,269,2447,12,2319,52,358,482,66,9,13,12,964,122,199,5209,0,0,1086,11516,263,927,1698,742,3453,314,3,5,42148,932,7,8,152,5442,30,0,4,28,200,7,223,4910,316
get,27,590750,117861,253714,153790,9390,464559,1422897,1310,2624,2055200,1351379,1908,1446452,4916407,6822131,89507,924392,62960,106062,51584,999687,1155463,594112,1438559,876,19629,2447812,9076094,9746604,26805788,93703,3759693,4784851,5072790,167822,89105,10745456,4151715,1623811,57713,3015031,27792911,752726,3164,15864,260918,3141299,3004,289079,1021906,105092
ghost,0,973,298,194,6998,725,49,375,222,46,1757,14233,81,15188,1702,2170,5864,1949,58,273,124,7599,864,2058,26457,2,39,19451,248867,3111,5583,211880,1050,31480,3999,151,219,7138,2729,385,194,2850,40142,244,19,124,810,2073,704,341,23592,2273
gin,0,95,22,13,412,32,3,47,13,6,151,2216,12,1832,57,193,788,45,3,49,4,740,197,206,5113,0,59,2719,8672,663,814,688,116,2838,361,25,14,707,569,8,10,97,5718,83,4,12,79,12037,5,30,5817,317
ginger,0,405,26,22,589,55,14,129,21,13,293,4352,15,2094,60,332,1208,108,21,130,17,1183,239,335,6040,0,41,3395,19335,1515,856,865,166,4849,3271,30,17,650,520,12,18,156,9241,178,6,25,120,551,13,64,10878,445
give,0,56051,2071,413,4854,1344,116,534,87,196,9645,115269,344,58524,964220,321110,6983,374,898,2454,1082,5479,988,46902,157995,531,465,9071,615014,104645,11434624,23656,240692,36757,315052,354,2222,884291,26330,888,1469,1860,1041980,155,297,1639,1960,6270927,632,109745,14594,9642
glance,0,742,103,1319,723,228,140,96,29,10,12057,5681,126,291773,3358,9638,3441,2090,70,996,82,1545,12914,608,4907,0,101,7578,14667,4704,60854,18748,4560,8297,854,43,10,2904,48590,574,75,15491,24169,9,867,3147,318,10365,604,188,3852,2509
glom,0,2,0,1,0,0,0,2,0,0,13,8,0,1,2,20,0,0,0,0,0,1,7,3,8,0,0,13,14,88,101,296,114,2822,3,5701,0,3,22,0,0,0,60,293,0,1,1,68,1,0,9,1
gloss,0,91,31,38,395,17,5,32,4,1,135,1449,8,841,91,335,545,11,16,42,2,636,169,96,3750,0,1,2076,16555,120,3364,3715,1023,10673,359,54,1,320,178370,245,5,291,5446,26,2,9,98,304,13,28,2037,222
gnaw,0,10,0,0,35,14,0,0,1,6,38,101,0,6156,1291,15,20,2,1,3,0,21,140,16,229,0,0,77,332,181,789,342,1859,17113,77,2,55,101,24,3,0,1469,2563,5,1,1,1,22,153,10,161,16
go,41,2094082,290616,75846,1477238,969572,3829339,986622,1879,1096,1875366,1166370,1241,936506,3514500,12896795,313968,88587,135130,98733,302147,1527462,4294330,240330,12901612,106410,234393,2768049,5006265,6398219,166652,1093430,1742617,9812112,256022,180220,31199,7193176,2064312,275491,165266,8892369,45177594,271322,57896,279770,325439,3648320,2375,199256,9905486,570425
goad,0,42,1,3,13,7,0,8,0,0,8,178,0,144,6,15,24,4,1,3,0,16,3,29,469,0,2,177,278,439,354,108,17,1245,181,23,0,176,53,2,0,5,845,6,3,4,9,20,0,3,117,27
gobble,0,45,2,2,15,1,0,5,0,2,46,207,1,297,93,330,39,4,0,6,0,22,4162,17,164,0,1,68,247,18,13560,166,39,1129,2068,4,1,43,37,0,2,47,246,22,2,2,11,43933,7,4,114,12
goof,0,957,22,8,162,52,0,17,17,0,32472,894,31,1226,27,86,149,54,5,56,1,786,23,102,2707,1,7,616,3397,89,1538,2172,44310,8896,160,1,3,347,117,3,9,38,2124,18,2,14,17,8821,3,135,3031,98
gouge,0,63,29,115,123,36,2,58,5,3,31,884,1,795,1715,35,84,4,11,25,8,200,162,168,1785,0,1,592,4118,608,2653,250,70,3370,247,4,27,14498,78,5,1,140,1210,5,1,7,43,211,5,13,782,101
grab,1,2400,288,143,4825,1430,61,456,65,15,1937,33944,67,50636,686,3024,5530,769,216,928,84,31057,686,2554,64766,2,85,35539,26897,3968,431013,21217,5360,59637,191496,61267,187,6187,2166,144,91,1373,32086,122,49,281,1185,10851,98,543,22534,2772
grapple,0,41,91,293,410,480,21,61,4,2,733,2697,8,1823,1831,1010,403,93,16,133,15,487,295,167,2632,0,25,1279,3594,1006,1928,386,302,4018,756,2702,4,776,716,70,15,290,9896,36,23,211,48,2475,17,41,56873,506
grasp,0,6975,35,43,1162,740,9,82,24,4,1019,9697,20,52959,117,323,1403,72,8,136,155,2005,88,3821,31643,1,19,3211,10676,1222,77063,515583,243,369674,1338,10034,22,369,3940,42,12,538,9562,33,33,134,78,351,776,283,7614,2099
grass,0,1140,650,619,4223,708,211,1721,132,85,9136,14605,90,19390,748,1859,6529,3201,1706,4908,313,7625,3019,1298,32528,0,20,11790,77523,4309,5886,8645,3106,58046,3132,438,58,5292,3915,192,73,855,50556,574,128,444,5119,2724,105,284,30186,3642
